OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
76,4019012009,Nonvacant,4508 W SLAUSON AVE,LOS ANGELES CA,90043-2720,7.405459,1958,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,C-2,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.97661334,49,20 du/net ac,50 du/net ac,Available,17,16,0,0,33,VL/L,,,,,Not Used in Prior Housing Element,42541.27734,945.5179899
77,8761015014,Nonvacant,19153 COLIMA RD,ROWLAND HEIGHTS CA,91748-3003,3.03479025,1976,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-1,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.9327585,47,20 du/net ac,50 du/net ac,Available,13,12,0,0,25,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,40630.96094,835.8562214
78,2826096004,Nonvacant,25660 THE OLD RD,VALENCIA CA,91381-1707,1.41472182,1997,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,0.64683379,33,18 du/net ac,50 du/net ac,Available,12,11,0,0,23,VL/L,,,,,Not Used in Prior Housing Element,28176.08105,680.1288839
79,8253001006,Nonvacant,1920 BATSON AVE,ROWLAND HTS CA,91748-3461,0.93981862,1977,501,Residential,Five or more apartments,Non Vacant Use,NO - Privately-Owned,163,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,R-3,100,,0,,0,U5,100,,0,,0,,,0,,,0,,,0,5.78066349,290,22.1 du/gross ac,35 du/gross ac,Available,41,41,0,0,82,VL/L,,,,,Not Used in Prior Housing Element,251805.7041,2312.833358
80,8761011014,Nonvacant,18958 DAISETTA ST,ROWLAND HEIGHTS CA,91748-2277,0.32494991,2009,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.71169049,36,20 du/net ac,50 du/net ac,Available,10,9,0,0,19,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,31001.23828,859.2261791
81,8253002015,Nonvacant,1788 SIERRA LEONE AVE,ROWLAND HEIGHTS CA,91748-5886,0.9552733,2007,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.57895537,29,20 du/net ac,50 du/net ac,Available,8,8,0,0,16,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,25219.29688,687.6454574
82,8761011008,Nonvacant,1425 NOGALES ST,ROWLAND HEIGHTS CA,91748-2254,0.35372351,1973,2100,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,ROWLAND HEIGHTS,Rowland Heights Community Plan,C-3-BE,100,,0,,0,C,100,,0,,0,,,0,,,0,,,0,0.8253971,42,20 du/net ac,50 du/net ac,Available,11,11,0,0,22,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,35954.29688,763.048897
83,2826085011,Nonvacant,24917 PICO CANYON RD,STEVENSON RANCH CA,91381-1708,1.22500002,1996,1101,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,2.00486613,101,18 du/net ac,50 du/net ac,Available,34,34,0,0,68,VL/L,,,,,Not Used in Prior Housing Element,87331.96875,1714.241879
84,8209020026,Nonvacant,17175 COLIMA RD,HACIENDA HEIGHTS CA,91745-6701,2.31628508,1997,2501,Commercial,Service Stations,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.87091019,27,18 du/net ac,30 du/net ac,Available,8,7,0,0,15,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,37936.84961,773.7872082
85,2826085012,Nonvacant,24909 PICO CANYON RD,STEVENSON RANCH CA,91381-1708,3.53783277,1996,2101,Commercial,"Restaurants, Cocktail Lounges",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,0.6397809,32,18 du/net ac,50 du/net ac,Available,11,11,0,0,22,VL/L,,,,,Not Used in Prior Housing Element,27868.85645,697.0224426
